confession,sentiment,joy,sadness,fear,disgust,anger
"""Matlab is actually a pretty good programming language""",0.946753,0.843067,0.030378,0.032038,0.025057,0.040967
"""Goodys market has so many new faces... where is this tall Asian dude? Also, do they still play this trash Red Hot Chili Peppers?""",-0.59866,0.118365,0.301221,0.213852,0.304119,0.293148
"Okay, so there's this boy that I really want to fuck so bad. He's kinda cute and he has a nice body. But I don't know how to go about asking him? I don't even know if he's into me like that. We share a friend circle and our interactions this far have been strictly platonic. There's been things that he's said that I could have replied in a flirty way, but that would've required major boldness. If anyone has any advice on how I go about this, I would greatly appreciate it.",0.299774,0.616152,0.506891,0.113777,0.066062,0.465228
You smiled and me and now I've thought of 10 different ways I'd fuck you,0.286267,0.762802,0.065922,0.006142,0.015787,0.198877
"""I'm a straight guy but I also find guys wearing girl's clothes to be attractive. One time I got high with a crossdressing friend and we ended up having sex, I gave him a blowjob and let him fuck me. I didn't mind it and honestly would be down to do it again. Hell, I would even wear girl's clothes too this time. But I think kissing a guy is gross and I don't want to date one. I'm also attracted to transsexual women. And just women too, of course. So uh. What am I exactly?""",-0.28156,0.470031,0.143488,0.053604,0.63256,0.444544
"""This kid I went to high school that brutally harassed me and bullied me apparently has leukemia... mixed feelings to say the least.""",-0.962856,0.020038,0.547089,0.175657,0.407052,0.217494
"Does anyone know if Rodolfo Hernandez, the shuttle driver is single? I’m tryna mingleeee",0,0.094838,0.296696,0.219023,0.264526,0.096527
"""I'm Mexican, but I hate Mexican music""",-0.491285,0.038432,0.155332,0.077488,0.124686,0.737229
"""i love that stupid jacket of yours and the flannel. I fantasize about being able to wear one and be yours.""",0.687369,0.699257,0.048269,0.045062,0.034891,0.193138
"""Johnny Zhang (the IEEE tech chair) is an uwu daddy.""",0,0.192496,0.139282,0.052494,0.038391,0.073947
"""Indian guys either want to be black (for some reason) or be white (for some worse reason). Y'all have beautiful culture. Y'all ARE beautiful. Don't change for anyone.""",0.397507,0.100198,0.771439,0.082292,0.118609,0.122449
"""Not gonna lie. I'm a queer girl, and armpit hair on feminine peeps is hot. I'm probably in the minority here, but either the confidence is portrays or the pheromones or both really fucking get me. It literally makes no difference for guys tho""",-0.808014,0.261429,0.37752,0.126212,0.362276,0.123466
"""My old roommate really called herself “friendly, clean, and organized” on the off campus housing page. LOL, I was almost going to comment with pictures showing how dirty she is""",-0.482784,0.145967,0.298045,0.16056,0.454858,0.22117
"""How do I kindly reject someone that I'm not interested in?""",0,0.021628,0.712412,0.072648,0.102991,0.239526
"""I clicked on a person’s from this group profile, and I found the most arousing photo ever and jerked it to that pic that night""",-0.693807,0.345152,0.442693,0.013245,0.14591,0.102069
"""He keeps calling me a princess, but it feels backhanded.""",-0.370628,0.527489,0.309571,0.044457,0.077481,0.074262
"""Professor Man from the history department is such a snacc it was so hard to concentrate in HILD 7B. 10/10 would be down for some office hours (if you know what I mean ;) )""",-0.804295,0.192715,0.460576,0.155461,0.024016,0.069507
"""so my high school best friend and i came here to ucsd together. our relationship in HS was great; we always talked about whatever was going on in our lives and our minds. But now after being here at ucsd for three years, it feels like we never talk anymore. you went and found a new group of friends that you always are happy to be around, and im happy youre happy with them, but it makes me sad seeing you happier with others than you were with me since you all have much more in common. whenever we do talk, it feels awkward, like we dont know what to say. i want to tell you everything going on in my life--my classes, my career change, everything--but it just doesnt feel the same anymore. sometimes i feel like you dont like me as much cuz we got in fights over this and id come off as clingy but i just want us to talk and hang out, but you never seem to want to... i know that our lives are changing and we have to adjust, but i dont think that means we should completely forget each other. you were/are my best friend, but it feels like we are gradually growing apart from each other and there is nothing i can do about it...""",-0.418421,0.636088,0.63457,0.104764,0.037286,0.103106
"""Wore a pair of shoes that are definitely bold on its own and got many comments mostly from other girls about being a ""fob"" or ""chinese"". Because apparently dressing differently and because how you like equates to being an international student. Well I'm going to keep wearing my shoes regardless""",0.318763,0.419408,0.255611,0.129589,0.228717,0.081522
"""@ 13322 she likes you but is too nervous and is waiting for you to do something or show some form of interest in her""",-0.303033,0.090942,0.105636,0.716424,0.050727,0.078865
"""I appreciate professors who know upload files or lecture slides in PDF format rather than powerpoint on TritonED so I don't end up downloading a million files onto my computer when I click the link. I just tryna see the file man. I aint tryna commit 2MB to you.""",-0.716168,0.073735,0.521042,0.140073,0.046978,0.104261
"""Mathematicians have nothing better to do in their life so they just count shit""",-0.918303,0.0452,0.077537,0.063401,0.16075,0.874401
"""In seeing 13418, I'd like to throw myself into the mix to give options to whoever is DTF. Same height, 6', but Asian. Also left contact info with admins.""",-0.719921,0.116257,0.243166,0.039898,0.206161,0.447428
"""Why do some guys not make much or any noise during sex? It’s totally fine to moan or grunt. In fact, it’s hot when guys make a lot of sounds or talk dirty. It literally increases the pleasure factor for me because there’s that audible affirmation that my partner is enjoying it. I don’t want to be the only one making a ruckus""",-0.636239,0.291385,0.100195,0.190724,0.414455,0.217781
"""Anyone else in CHEM 7L(M) who is/was driven mad by the tedium of the lab report for the acid-base titration experiment? Ik this is just a first year lab class and shit is gonna get WAY worse in the years to come (upperclassmen are prob laughing at this post and thinking I'm puny). Still this page is a good place to vent. Call it buyer's remorse at fucking UC Scam Diego.""",-0.715148,0.022094,0.303192,0.079705,0.097342,0.776228
"""Jason Pham is cute x3""",0,0.914545,0.044227,0.009361,0.012451,0.019523
"""I said whoever got the confessions page Zucc’d your mom’s a hoe. I had my confessions posted and actually valued some opinions expressed by the good ppl of this page but now they’re gone. -.- now I am left with no advice.""",-0.397198,0.227466,0.396506,0.064317,0.141488,0.392135
"""I'm not vegan but I always eat at roots. Like on the days when they have the 'green brownies' its straight up guaranteed to be a great day. Plus there are supa cute and friendly people who work there. I eat at dining hall regularly even though I'm a commuter because I think the food is better, cheaper, and healthier than PC. ROAST ME.""",0.661904,0.644367,0.216747,0.066597,0.06464,0.061396
"""The policy of ""we will post confessions with people's names in them, and if they see them and don't like them we will remove them"" is reckless and irresponsible. First off, they might not be in this page, and even if they are, it can take hours before they go on Facebook and see it. By then, the damage is already done. And judging by the track record of the admins in the past, they're probably not going to respond in a timely manner anyways. They will probably give some BS like ""we have lives too and can't respond to every message right away"" even though it's a problem that *they* created and *they* have a responsibility to fix. You are playing a dangerous game with peoples' reputations. You can really screw people over, and you don't really have any idea how big of a deal this is. Since many of the admins on this page make fools of themselves regularly on Facebook, they don't see the potential harm in doing the same to an unwilling participant. In this day and age, social media miscues can fuck people over big time.""",-0.699045,0.123003,0.606519,0.151073,0.22525,0.242628
"""I'm gonna switch to electric razors and idi which one to do. So, guys and girls, which razor would you guys recommend that has a close shave and would be ok for me to use on my private area (for guy)?""",0.745079,0.063914,0.153054,0.070673,0.318737,0.140437
"""savanna from OVT who made my pizza, you’re cute and took my order. Since I’m not, can I take your number? """,0.824114,0.578511,0.158737,0.022035,0.044905,0.097416
"""Any other Indian people who are super embarrassed by the homeland? The fetishization of non-Indian women, the rampant sexism, the obvious racial biases in everything, getting defensive the moment anyone criticizes India even slightly. I joke about it, and I meme about it (subtle curry traits is lit), but I really do resent the negative image the put on the rest of us.""",-0.850652,0.017419,0.5563,0.18923,0.413038,0.161363
"""Is there anyone here who has seborrheic dermatitis or psoriasis and has found an effective treatment? help a girl out. I'm dying from all the itchiness, inflammation, dryness and acne.""",-0.372187,0.06163,0.777706,0.17421,0.055834,0.067283
"""can people living in the dorms please minimize their fucking noise when the walls are so fucking thin like we don't need to hear you stomping around or having sex just c h i l l""",-0.994574,0.012479,0.059001,0.204437,0.331327,0.703498
"""I'm really sad all the confessions are gone now :(""",-0.994416,0.009543,0.957686,0.101748,0.051046,0.059844
"""@ all the people who chew with their mouths open: Maybe you weren't taught this in your upbringing for cultural reasons, but in the greater society, chewing with your mouth open is considered rude and displays poor etiquette. Not to mention it's sounds so disgusting to hear you smack your lips and munch food around in your mouth. For me, it literally makes me quesy 🤢. There's a lot of people I know who are bothered by the sound of open-mouth chewers but don't say anything because they don't want you to take it the wrong way. So take it from me, I am telling you, on behalf of all of us, for the love of God, PLEASE CHEW WITH YOUR MOUTH CLOSED!!!!""",-0.758011,0.029602,0.051926,0.049393,0.84879,0.264721
"""I’ve been busting ass to different places and trying to hit the gym for stress relief but now my legs are so sore :( pls someone give me massage tips to loosen the muscles""",-0.959296,0.035964,0.534497,0.594495,0.020518,0.05537
"""To all of you who lack self-awareness or were maybe brought up having things cleaned for you..which has now caused you to be the worst roommate/housemate, YOU ARE LITERALLY THE WORST. When you come home and the trash and recycling are empty, SOMEONE DID THAT. When you come home and your trash is thrown away, SOMEONE DID THAT. When you come home and your dirty dishes that were there for a month are put away and cleaned, SOMEONE DID THAT. These things don't just magically happen. Someone is cleaning up after you just so they can live in a decently clean and sanitary place. Have some respect for your peers, friends and housemates who are working just as damn hard as you in school and at work by just cleaning up after yourself. You are literally just adding to the stress of the people you live with.""",-0.764776,0.082717,0.488352,0.193422,0.560728,0.498939
"""I am a frequent commenter on this page, but lately y'all have been posting things that are way too sexual and I have no idea what to say to these thirst posts. If I was having sex I wouldn't spend all my time reading your damn confessions. Stop being so horny you all are ruining my career!""",-0.688141,0.017866,0.344652,0.102296,0.422896,0.485289
"""To the guy who's ALWAYS in Geisel 2 East in front of the digital media lab sitting in the EXACT SAME SPOT, wearing glasses and a bucket hat. Everytime Im here I see you EVEN past midnight :o . I even hear your friends telling at you to go home~. Pls take care :( YOu always look so stressed out. I u kknow who i'm talking about giv him a hug lolol <3""",-0.480377,0.06372,0.81003,0.070219,0.051727,0.145213
